"station_english_name";"station_latitude";"station_longitude"
"Nepaltar Bus Route Point";"27.7411772";"85.3033662"
"Seshmati Pul Bus Route Point";"27.744041298114766";"85.3003416582942"
"Shantitol Bus Route Point";"27.748764";"85.3015476"
"Jarankhu Bus Route Point";"27.75750079891393";"85.3019342198968"
"North Valley Bus Route Point";"27.76189";"85.3011614"
"Dhansar Bus Route Point";"27.6537679";"85.3775239"
"Baniyatar Bus Route Point";"27.7537202";"85.3185475"
"Tarkhagal Bus Route Point";"27.6476476";"85.395999"
"Phutung Mahadev Mandir";"27.757893";"85.309664"
"BIharatar Bus Route Point";"27.7538484";"85.2936351"
"Dharmasthali By Pass Bus Route Point";"27.767276156536365";"85.29708445072174"
"Pirkun Bus Route Point";"27.765078416742057";"85.29824484139682"
"Kamal Pokhari Imadol";"27.65649056361317";"85.34857012331484"
"Dhitalchok Bus Route Point";"27.7642682";"85.2839094"
"Kharibot Imadol";"27.6591466";"85.3445864"
"Krishna Mandir Imadol";"27.661692159559834";"85.34264646470547"
"Dhunge Sangu Bus Route Point";"27.6611802";"85.3502297"
"Patan Industrial Bus Route Point";"27.6625106";"85.3238797"
"Lagankhel Bus Park";"27.6669196";"85.3232574"
"JRC Chowk Bus Park";"27.6601919";"85.3196633"
"Milan Chowk Bus Route Point Nakhipot";"27.6528651";"85.3170133"
"Nakhipot Bus Route Point";"27.6515346";"85.3176999"
"Janani Marga Bus Route Point";"27.6489597489152";"85.32040189951657"
"Pragati Chowk Bus Route Point";"27.64666280365245";"85.31982019543648"
"Dholahiti Bus Route Point";"27.6420498";"85.3215194"
"Lapsi Bot Bus Route Point";"27.65163114190121";"85.28614070266485"
"Naagdaha Bus Route Point";"27.65019314169008";"85.28207246214151"
"Taudaha Bus Route Point";"27.6490067";"85.2789903"
"Paani Tyanki Taudaha";"27.6487406";"85.278368"
"Mahadevthan Chalnakhel";"27.6403295";"85.2783251"
"Bansbari Chalnakhel";"27.62509072694413";"85.28485056012867"
"Thaasikhel Bus Stop";"27.6627695";"85.3165546"
"Bhanjyang Bus Route Point Farping";"27.6181439";"85.2751064"
"Pahiro Bus Route Point";"27.621049815211673";"85.27211274951696"
"Kushunti Bus Route Point";"27.6645512";"85.3142935"
"Dallu Bus Route Point";"27.622613261441277";"85.26541862636805"
"Yatayat Karyalaya Bus station";"27.6656487";"85.3116354"
"Shes Narayan Than Bus Route Point";"27.6170601";"85.2643347"
"Bagdol Bus Route Point";"27.6707941";"85.3047207"
"Chhyabasti Bus Route Point";"27.7158066";"85.4688692"
"Telkot Bus Route Point";"27.7122923";"85.4751134"
"Sanepa Nayabato";"27.6810294";"85.3022236"
"Bastola Gaun Bus Route Point";"27.708227";"85.4811645"
"Pipalbot Sallaghari";"27.7125203";"85.4904771"
"Madannagar Bus Route Point";"27.6859104";"85.2927715"
"Pauwa Bus Route Point";"27.713983";"85.437777"
"Rop Line Bus Route Point";"27.6883662";"85.2863932"
"Changunarayan Bus Buspark";"27.716501435536593";"85.43056726455687"
"Sanku Buspark Mulpani";"27.72770827107041";"85.46195581555367"
"Khasi Bazzar Balkhu";"27.6888578";"85.2845934"
"Raju Niwash Bus Route Point";"27.7512469";"85.4455662"
"Kalanki Makalu Bus Route Point";"27.6959543";"85.281525"
"Gagal Bus Route Point";"27.75285683305027";"85.44814076274635"
"Syuchatar Bus Route Point";"27.698895533996165";"85.28153903782369"
"Milan Tol Bus Route Point";"27.7106207";"85.2828366"
"Machchhegaun Bus Route Point";"27.6704924";"85.2500868"
"Thado Bharyang Bus Route Point";"27.7131234";"85.2831906"
